Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
72 /success.txt,186,185,28,3533,"378,77","0,000%",",60507","0,23","0,18","384,0"
73 /success.txt,186,136,30,560,"101,87","0,000%",",60498","0,23","0,18","384,0"
74 /success.txt,186,157,29,3680,"278,69","0,000%",",60495","0,23","0,18","384,0"
75 /success.txt,186,182,26,3071,"344,25","0,000%",",60497","0,23","0,18","384,0"
76 /success.txt,186,172,27,3101,"324,00","0,000%",",60498","0,23","0,18","384,0"
77 /success.txt,186,140,28,546,"112,04","0,000%",",60494","0,23","0,18","384,0"
78 /success.txt,186,290,28,21359,"1685,77","0,000%",",60495","0,23","0,18","384,0"
79 /success.txt,186,194,32,9246,"710,02","0,000%",",60486","0,23","0,18","384,0"
80 /success.txt,186,346,27,21347,"1638,29","0,000%",",60456","0,23","0,18","384,0"
81 /success.txt,186,201,27,3460,"460,36","0,538%",",60425","0,23","0,18","396,3"
82 /success.txt,184,146,28,3359,"256,24","0,000%",",65236","0,24","0,20","384,0"
83 /success.txt,184,132,24,890,"103,15","0,000%",",65247","0,24","0,20","384,0"
84 /success.txt,184,152,29,3228,"264,68","0,000%",",65256","0,24","0,20","384,0"
85 /success.txt,184,189,28,9522,"701,32","0,000%",",65268","0,24","0,20","384,0"
RAZEM,17176,525,19,29250,"1929,01","0,105%","54,44419","395,08","39,93","7430,7"
