Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
80 /success.txt,93,70,25,291,"51,07","0,000%",",31294","0,12","0,09","384,0"
81 /success.txt,93,105,28,3089,"318,89","0,000%",",31293","0,12","0,09","384,0"
82 /success.txt,93,106,26,3069,"315,02","0,000%",",31293","0,12","0,09","384,0"
83 /success.txt,93,81,28,461,"68,02","0,000%",",31258","0,12","0,09","384,0"
84 /success.txt,93,135,26,5705,"585,01","0,000%",",31258","0,12","0,09","384,0"
85 /success.txt,93,75,25,521,"65,90","0,000%",",31258","0,12","0,09","384,0"
86 /success.txt,186,67,29,237,"44,31","1,075%",",62489","0,25","0,19","402,9"
87 /success.txt,184,533,26,42043,"4351,88","1,087%",",61848","0,24","0,18","403,0"
88 /success.txt,184,94,24,1841,"193,23","0,000%",",61845","0,23","0,19","384,0"
89 /success.txt,184,300,24,21100,"2181,19","1,087%",",61847","0,25","0,18","408,9"
90 /success.txt,182,1302,26,42043,"6500,62","2,198%",",61247","0,25","0,18","422,4"
91 /success.txt,182,343,27,9083,"1342,64","0,000%",",61247","0,23","0,18","384,0"
92 /success.txt,182,135,27,3079,"344,90","0,000%",",61252","0,23","0,18","384,0"
93 /success.txt,178,8279,19,77110,"16981,72","12,921%",",59909","43,12","1,27","73709,6"
94 /success.txt,91,215,28,9104,"955,55","0,000%",",30628","0,11","0,09","384,0"
95 /,91,5054,166,21039,"6572,27","12,088%",",30615","43,70","0,09","146172,8"
97 /success.txt,90,4341,29,42053,"11182,04","7,778%",",30537","0,16","0,08","520,1"
96 /,89,2444,86,21033,"5503,21","8,989%",",30214","0,13","0,49","433,1"
98 /success.txt,87,2799,28,42064,"7977,19","2,299%",",29736","0,12","0,09","424,2"
99 /success.txt,87,1015,28,42036,"5128,96","1,149%",",29744","0,12","0,09","404,1"
100 /success.txt,87,365,28,21089,"2259,94","0,000%",",29729","0,11","0,09","384,0"
101 /success.txt,87,76,26,442,"69,83","0,000%",",29727","0,11","0,09","384,0"
102 /success.txt,174,630,21,21410,"2838,24","1,724%",",59407","0,40","1,24","681,2"
104 /,87,984,60,21043,"3923,21","3,448%",",29726","0,10","0,52","329,4"
103 /,87,115,59,552,"77,64","0,000%",",29729","0,08","0,54","265,0"
RAZEM,11353,716,0,84351,"3937,23","1,136%","37,12242","322,77","26,59","8903,3"
