Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Home,1,342,342,342,"0,00","0,000%","2,92398","37,90","1,74","13274,0"
Logo_Icons,1,193,193,193,"0,00","0,000%","5,18135","102,44","2,44","20245,0"
Check random variable,1,3782,3782,3782,"0,00","0,000%",",26441","220,51","0,05","853995,0"
Login,1,1330,1330,1330,"0,00","0,000%",",75188","12,46","2,49","16963,0"
Personal data,1,292,292,292,"0,00","0,000%","3,42466","45,65","2,28","13650,0"
Wish List,1,330,330,330,"0,00","0,000%","3,03030","37,50","2,02","12672,0"
My orders,1,323,323,323,"0,00","0,000%","3,09598","39,16","2,06","12952,0"
Logout,1,658,658,658,"0,00","0,000%","1,51976","20,36","2,99","13717,0"
RAZEM,8,906,193,3782,"1139,51","0,000%",",28241","33,01","0,30","119683,5"
