Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Home,6,428,393,450,"21,13","0,000%","4,43459","57,49","2,65","13274,0"
Logo_Icons,6,201,187,220,"10,86","0,000%",",18631","3,68","0,09","20245,0"
Check random variable,6,3286,1325,5893,"1505,74","0,000%",",28151","234,64","0,06","853531,0"
Login,6,768,504,1444,"314,76","0,000%",",25509","4,23","0,84","16963,0"
Personal data,6,294,221,382,"57,70","0,000%",",28662","3,82","0,19","13650,0"
Wish List,6,221,211,241,"9,37","0,000%",",29504","3,65","0,20","12672,0"
My orders,6,274,212,523,"111,65","0,000%",",29655","3,75","0,20","12952,0"
Logout,6,624,361,1110,"307,73","0,000%",",29384","3,94","0,58","13717,0"
RAZEM,48,762,187,5893,"1120,39","0,000%",",25505","29,80","0,27","119625,5"
