Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Home,104,365,116,1337,"175,99","0,000%",",03246","0,42","0,02","13274,0"
Logo_Icons,100,226,158,970,"113,64","0,000%",",03382","0,67","0,02","20245,0"
Check random variable,100,3159,1167,48845,"4832,57","0,000%",",03409","28,40","0,01","853001,4"
Login,100,835,479,4024,"468,97","0,000%",",03405","0,56","0,11","16979,4"
Personal data,100,487,199,11469,"1163,35","0,000%",",03405","0,45","0,02","13650,0"
Wish List,100,288,186,1286,"148,25","0,000%",",03406","0,42","0,02","12672,0"
My orders,100,968,206,58817,"5823,00","0,000%",",03406","0,43","0,02","12952,0"
Logout,100,2526,321,49108,"8871,85","0,000%",",03410","0,46","0,07","13717,0"
RAZEM,804,1103,116,58817,"4266,19","0,000%",",25060","29,13","0,27","119032,6"
