timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1511195664831,665,Home,200,OK,Grupa wątków 1-1,text,true,HOME - Smoke test passed,13274,611,1,1,636,0,563
1511195667974,224,Logo_Icons,200,OK,Grupa wątków 1-1,bin,true,,20245,483,1,1,170,0,121
1511195672567,3797,Check random variable,200,OK,Grupa wątków 1-1,text,true,,854585,208,1,1,1546,0,103
1511195676368,1661,Login,200,OK,Grupa wątków 1-1,text,true,LOGIN - Smoke test passed,16981,3388,1,1,671,0,104
1511195679117,218,Personal data,200,OK,Grupa wątków 1-1,text,true,PERSONAL DATA - Smoke test passed,13650,683,1,1,187,0,93
1511195684562,239,Wish List,200,OK,Grupa wątków 1-1,text,true,WISH LIST - Smoke test passed,12672,684,1,1,197,0,97
1511195688551,212,My orders,200,OK,Grupa wątków 1-1,text,true,MY ORDERS - Smoke test passed,12952,680,1,1,176,0,91
1511195692569,447,Logout,200,OK,Grupa wątków 1-1,text,true,,13717,2017,1,1,143,0,85
