Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
JDBC Request Select,1,39,39,39,"0,00","0,000%","25,64103","5,41","0,00","216,0"
JDBC Request Select and where,1,2,2,2,"0,00","0,000%","500,00000","21,97","0,00","45,0"
JDBC Request Insert,1,9,9,9,"0,00","0,000%","111,11111","0,98","0,00","9,0"
JDBC Request Update,1,5,5,5,"0,00","0,000%","200,00000","1,76","0,00","9,0"
JDBC Request Delete,1,6,6,6,"0,00","0,000%","166,66667","1,46","0,00","9,0"
RAZEM,5,12,2,39,"13,59","0,000%","2,27169","0,13","0,00","57,6"
